id	rate
30059	34.9
30061	17
30063	9.3
30065	15.4
30067	19.9
30069	46.7
30071	20
30073	28.1
30075	11.5
30077	22.1
30079	28.8
30081	26.3
30083	18.9
30085	29.9
30087	14.9
30089	32.7
30091	17.6
30093	18
30095	18
30097	28.6
30099	25.4
30101	44.6
30103	36.7
30105	25.8
30107	52.4
30109	18.7
30111	16.4
31001	7.7
31003	11.2
31005	17.6
31007	7.4
31009	27
31011	12.8
31013	27.4
31015	11
31017	62.7
31019	5.3
31021	22.9
31023	22.7
31025	14.2
31027	14
31029	9.5
31031	29.2
31033	9
31035	25.2
31037	20.8
31039	20.8
31041	26.9
31043	18
31045	5.3
31047	27
31049	12.6
31051	14.3
31053	16.3
31055	12.7
31057	18.4
31059	15.8
31061	6.9
31063	8.1
31065	34.3
31067	15.3
31069	42
31071	4.1
31073	10.9
31075	2.5
31077	29
31079	17.7
31081	25.1
31083	15.1
31085	32.9
31087	15.5
31089	14.8
31091	0
31093	11.9
31095	16.2
31097	30.4
31099	14.4
31101	12.6
31103	2.4
31105	25.3
31107	14.8
31109	6.3
31111	21.3
31113	0
31115	38.1
31117	35.7
31119	10.3
31121	12
31123	24.8
31125	12.7
31127	9.9
31129	16.8
31131	17
31133	31.4
31135	27.4
31137	19.2
31139	9.6
31141	19.7
31143	24.7
31145	9.3
31147	11.2
31149	6
31151	20
31153	10.5
31155	10.8
31157	14.4
31159	4.3
31161	30.1
31163	11.9
31165	7.1
31167	12.4
31169	21.5
31171	19.5
31173	30.2
31175	17.2
31177	13
31179	3.6
31181	28
31183	11.1
31185	13.6
32001	19.8
32003	20.2
32005	17.3
32007	19
32009	1.2
32011	48.1
32013	31.9
32015	24.3
32017	30.1
32019	30.2
32021	6.1
32023	32.3
32027	38
32029	16.9
32031	15.9
32033	23.9
32510	17.4
33001	15.4
33003	14.8
33005	6.1
33007	13.2
33009	6.6
33011	12.9
33013	10.9
33015	13.5
33017	6.1
33019	17.4
34001	12.3
34003	10.1
34005	11.3
34007	13.1
34009	14.3
34011	17.6
34013	13.7
34015	10.6
34017	12.8
34019	16.6
34021	12.1
34023	9
34025	10.9
34027	12.2
34029	13
34031	13.1
34033	15.6
34035	13.5
34037	12.2
34039	15.3
34041	14.6
35001	18.9
35003	0
35005	23.1
35006	27.3
35007	25.5
35009	15.8
35011	59.1
35013	14
35015	23.4
35017	20.4
35019	16.8
35021	14.6
35023	23.7
35025	23.4
35027	24.2
35028	23.5
35029	21.1
35031	25.1
35033	12.8
35035	16
35037	34.7
35039	23.8
35041	12.2
35043	17.8
35045	23
35047	16.8
35049	25.2
35051	17.1
35053	21.6
35055	23.4
35057	32
35059	15.4
35061	18.6
36001	7.2
36003	7.2
36005	24.2
36007	9.7
36009	18.3
36011	19.4
36013	13.8
36015	14.1
36017	16.6
36019	12
36021	16.9
36023	3.5
36025	8.8
36027	10.5
36029	10.5
36031	17.8
36033	23.6
36035	24.5
36037	13.1
36039	24.8
36041	13.5
36043	13.3
36045	8.1
36047	15.5
36049	18.5
36051	6.5
36053	7.1
36055	11.8
36057	19.1
36059	8.7
36061	10.5
36063	9.8
36065	13.2
36067	10.9
36069	9.2
36071	13.2
36073	23.3
36075	10.3
36077	7.8
36079	8
36081	13.6
36083	7.6
36085	10.4
36087	15.3
36089	11.5
36091	11.9
36093	14.5
36095	9.1
36097	19.7
36099	26.9
36101	17.2
36103	10.8
36105	20.3
36107	13.9
36109	3.1
36111	10.6
36113	12.5
36115	21.2
36117	17.9
36119	11.9
36121	17
36123	19.7
37001	17.3
37003	12.9
37005	22.1
37007	20.6
37009	24.4
37011	14.4
37013	18.5
37015	30.5
37017	26.2
37019	16.8
37021	14.9
37023	24.2
37025	19.4
37027	21.1
37029	8.3
37031	15.8
37033	20.9
37035	14.7
37037	16.9
37039	15
37041	15.5
37043	27.2
37045	14.6
37047	25
37049	12.3
37051	11.4
37053	19.3
37055	15.8
37057	22.6
37059	16.7
37061	28.6
37063	15.2
37065	26.3
37067	16.7
37069	18.5
37071	18.7
37073	11.2
37075	32
37077	25
37079	21.1
37081	12.6
37083	23.4
37085	14.9
37087	20.3
37089	21.5
37091	14
37093	20.9
37095	31.7
37097	18.3
37099	4.7
37101	20.9
37103	15.9
37105	18.3
37107	21.5
37109	15.7
37111	16.7
37113	24.7
37115	15.7
37117	13.4
37119	14.7
37121	19.3
37123	17.9
37125	14.6
37127	22
37129	8.9
37131	22.1
37133	7.6
37135	5.8
37137	21.3
37139	9.3
37141	22
37143	8
37145	22.2
37147	7.3
37149	15
37151	19.8
37153	23.7
37155	23.4
37157	21.6
37159	17.6
37161	26.7
37163	22.7
37165	20.9
37167	21
37169	19
37171	17.2
37173	13.9
37175	16.2
37177	28.1
37179	16
37181	27.2
37183	13
37185	25.7
37187	29.6
37189	2.1
37191	18
37193	17.1
37195	23.3
37197	13.9
37199	9.3
38001	10.8
38003	12.1
38005	21.9
38007	9.1
38009	15.4
38011	11.4
38013	23
38015	7.9
38017	7
38019	10.1
38021	9.6
38023	11.2
38025	24.1
38027	7.4
38029	15.9
38031	14.6
38033	12.5
38035	3
38037	26.1
38039	24.4
38041	10.8
38043	21.9
38045	24.3
38047	11.1
38049	9.7
38051	40.3
38053	17.6
38055	20.2
38057	21.6
38059	7.2
38061	24.4
38063	4.6
38065	11.6
38067	13.4
38069	16.3
38071	11.4
38073	20.1
38075	28.9
38077	6.4
38079	22.5
38081	16.2
38083	40.7
38085	27.7
38087	11.1
38089	13
38091	12.3
38093	14.4
38095	19.2
38097	6.5
38099	30.1
38101	9.2
38103	12.2
38105	14.4
39001	16.5
39003	16.7
39005	13.7
39007	25.4
39009	2.3
39011	16.5
39013	18.1
39015	7.6
39017	9.5
39019	17
39021	15.6
39023	16.1
39025	12.2
39027	15.1
39029	18
39031	20.7
39033	21.7
39035	17.1
39037	13.9
39039	13.2
